temperature,humidity,Time,Temperature,Humidity,HeatIndex
,,2026-02-23 21:46:47.201589,22.5,67.0,22.55
,,2026-02-23 21:46:49.268013,22.6,67.0,22.66
,,2026-02-23 21:46:51.355550,22.6,67.0,22.66
,,2026-02-23 21:46:53.425890,22.5,67.0,22.55
,,2026-02-23 21:46:55.509671,22.5,67.0,22.55
,,2026-02-23 21:46:57.593086,22.5,67.0,22.55
,,2026-02-23 21:46:59.686831,22.5,67.0,22.55
,,2026-02-23 21:47:01.783408,22.5,67.0,22.55
,,2026-02-23 21:47:03.878141,22.5,67.0,22.55
,,2026-02-23 21:47:05.956234,22.5,67.0,22.55
,,2026-02-23 21:47:08.039114,22.5,67.0,22.55
,,2026-02-23 21:47:10.149814,22.5,67.0,22.55
,,2026-02-23 21:47:12.232654,22.6,67.0,22.66
,,2026-02-23 21:47:13.320324,22.6,67.0,22.66
,,2026-02-23 21:47:15.412288,22.5,67.0,22.55
,,2026-02-23 21:47:17.495764,22.5,67.0,22.55
,,2026-02-23 21:47:19.567818,22.5,67.0,22.55
,,2026-02-23 21:47:21.638425,22.5,67.0,22.55
,,2026-02-23 21:47:23.716422,22.5,67.0,22.55
,,2026-02-23 21:47:25.805705,22.6,67.0,22.66
,,2026-02-23 21:47:27.887378,22.6,67.0,22.66
,,2026-02-23 21:47:29.965920,22.6,67.0,22.66
,,2026-02-23 21:47:32.052918,22.6,67.0,22.66
,,2026-02-23 21:47:34.169570,22.6,67.0,22.66
,,2026-02-23 21:47:36.242614,22.6,67.0,22.66
,,2026-02-23 21:47:38.303538,22.6,67.0,22.66
,,2026-02-23 21:47:40.376899,22.6,67.0,22.66
,,2026-02-23 21:47:42.464750,22.6,67.0,22.66
,,2026-02-23 21:47:44.519816,22.6,67.0,22.66
,,2026-02-23 21:47:46.587770,22.6,67.0,22.66
,,2026-02-23 21:47:48.658588,22.6,67.0,22.66
,,2026-02-23 21:47:50.738908,22.6,67.0,22.66
,,2026-02-23 21:47:52.878520,22.6,67.0,22.66
,,2026-02-23 21:47:54.946694,22.6,67.0,22.66
,,2026-02-23 21:47:57.023507,22.6,67.0,22.66
,,2026-02-23 21:47:59.098812,22.6,67.0,22.66
,,2026-02-23 21:48:01.154895,22.6,67.0,22.66
,,2026-02-23 21:48:02.241744,22.6,67.0,22.66
,,2026-02-23 21:48:04.322992,22.6,67.0,22.66
,,2026-02-23 21:48:06.393785,22.6,67.0,22.66
,,2026-02-23 21:48:08.465729,22.6,67.0,22.66
,,2026-02-23 21:48:10.522414,22.6,67.0,22.66
,,2026-02-23 21:48:12.588810,22.6,67.0,22.66
,,2026-02-23 21:48:14.659381,22.6,67.0,22.66
,,2026-02-23 21:48:16.729622,22.6,67.0,22.66
,,2026-02-23 21:48:18.798796,22.6,67.0,22.66
,,2026-02-23 21:48:20.872580,22.6,67.0,22.66
,,2026-02-23 21:48:22.952412,22.6,67.0,22.66
,,2026-02-23 21:48:25.030724,22.6,67.0,22.66
,,2026-02-23 21:48:27.098402,22.6,67.0,22.66
,,2026-02-23 21:48:29.164477,22.6,67.0,22.66
,,2026-02-23 21:48:31.235494,22.5,67.0,22.55
,,2026-02-23 21:48:33.333979,22.5,67.0,22.55
,,2026-02-23 21:48:35.402408,22.5,67.0,22.55
,,2026-02-23 21:48:37.469840,22.5,67.0,22.55
,,2026-02-23 21:48:39.563461,22.5,67.0,22.55
,,2026-02-23 21:48:41.644450,22.5,67.0,22.55
,,2026-02-23 21:48:43.714458,22.5,67.0,22.55
,,2026-02-23 21:48:45.786671,22.5,67.0,22.55
,,2026-02-23 21:48:47.866666,22.5,67.0,22.55
,,2026-02-23 21:48:49.945996,22.5,67.0,22.55
,,2026-02-23 21:48:52.036802,22.5,67.0,22.55
,,2026-02-23 21:48:54.106870,22.5,67.0,22.55
,,2026-02-23 21:48:56.190921,22.5,67.0,22.55
,,2026-02-23 21:48:57.304015,22.5,67.0,22.55
,,2026-02-23 21:48:59.390755,22.5,67.0,22.55
,,2026-02-23 21:49:01.471788,22.5,67.0,22.55
,,2026-02-23 21:49:03.548555,22.5,67.0,22.55
,,2026-02-23 21:49:05.624380,22.5,67.0,22.55
,,2026-02-23 21:49:07.724177,22.5,67.0,22.55
,,2026-02-23 21:49:09.817221,22.5,67.0,22.55
,,2026-02-23 21:49:11.917933,22.5,67.0,22.55
,,2026-02-23 21:49:14.008322,22.5,67.0,22.55
,,2026-02-23 21:49:16.090555,22.5,67.0,22.55
,,2026-02-23 21:49:18.170398,22.5,67.0,22.55
,,2026-02-23 21:49:20.244539,22.5,67.0,22.55
,,2026-02-23 21:49:22.315901,22.5,67.0,22.55
,,2026-02-23 21:49:24.603824,22.5,67.0,22.55
,,2026-02-23 21:49:26.683990,22.5,67.0,22.55
,,2026-02-23 21:49:28.763734,22.5,67.0,22.55
